"Phi","Points:0","Points:1","Points:2"
1,25.6,435.2,0
1,51.2,435.2,0
1,76.8,435.2,0
1,102.4,435.2,0
1,128,435.2,0
1,153.6,435.2,0
1,179.2,435.2,0
1,204.8,435.2,0
1,230.4,435.2,0
1,256,435.2,0
1,281.6,435.2,0
1,307.2,435.2,0
1,332.8,435.2,0
1,358.4,435.2,0
1,384,435.2,0
1,409.6,435.2,0
1,435.2,435.2,0
1,460.8,435.2,0
1,486.4,435.2,0
1,512,435.2,0
1,537.6,435.2,0
1,0,460.8,0
1,25.6,460.8,0
1,51.2,460.8,0
1,76.8,460.8,0
1,102.4,460.8,0
1,128,460.8,0
1,153.6,460.8,0
1,179.2,460.8,0
1,204.8,460.8,0
1,230.4,460.8,0
1,256,460.8,0
1,281.6,460.8,0
1,307.2,460.8,0
1,332.8,460.8,0
1,358.4,460.8,0
1,384,460.8,0
1,409.6,460.8,0
1,435.2,460.8,0
1,460.8,460.8,0
1,486.4,460.8,0
1,512,460.8,0
1,537.6,460.8,0
1,0,486.4,0
1,25.6,486.4,0
1,51.2,486.4,0
1,76.8,486.4,0
1,102.4,486.4,0
1,128,486.4,0
1,153.6,486.4,0
1,179.2,486.4,0
1,204.8,486.4,0
1,230.4,486.4,0
1,256,486.4,0
1,281.6,486.4,0
1,307.2,486.4,0
1,332.8,486.4,0
1,358.4,486.4,0
1,384,486.4,0
1,409.6,486.4,0
1,435.2,486.4,0
1,460.8,486.4,0
1,486.4,486.4,0
1,512,486.4,0
1,537.6,486.4,0
1,0,512,0
1,25.6,512,0
1,51.2,512,0
1,76.8,512,0
1,102.4,512,0
1,128,512,0
1,153.6,512,0
1,179.2,512,0
1,204.8,512,0
1,230.4,512,0
1,256,512,0
1,281.6,512,0
1,307.2,512,0
1,332.8,512,0
1,358.4,512,0
1,384,512,0
1,409.6,512,0
1,435.2,512,0
1,460.8,512,0
1,486.4,512,0
1,512,512,0
1,537.6,512,0
1,0,537.6,0
1,25.6,537.6,0
1,51.2,537.6,0
1,76.8,537.6,0
1,102.4,537.6,0
1,128,537.6,0
1,153.6,537.6,0
1,179.2,537.6,0
1,204.8,537.6,0
1,230.4,537.6,0
1,256,537.6,0
1,281.6,537.6,0
1,307.2,537.6,0
1,332.8,537.6,0
1,358.4,537.6,0
1,384,537.6,0
1,409.6,537.6,0
1,435.2,537.6,0
1,460.8,537.6,0
1,486.4,537.6,0
1,512,537.6,0
1,537.6,537.6,0
1,0,563.2,0
1,25.6,563.2,0
1,51.2,563.2,0
1,76.8,563.2,0
1,102.4,563.2,0
1,128,563.2,0
